publication_title	issue_year	issue_month	issue_number	issue_type
Haftalık Ant Dergisi	1969	4	118	regular issue
Haftalık Ant Dergisi	1969	4	119	regular issue
Haftalık Ant Dergisi	1967	3	12	regular issue
Haftalık Ant Dergisi	1969	4	120	regular issue
Haftalık Ant Dergisi	1969	4	121	regular issue
Haftalık Ant Dergisi	1969	4	122	regular issue
Haftalık Ant Dergisi	1969	5	123	regular issue
Haftalık Ant Dergisi	1969	5	124	regular issue
Haftalık Ant Dergisi	1969	5	125	regular issue
Haftalık Ant Dergisi	1969	5	126	regular issue
Haftalık Ant Dergisi	1969	6	127	regular issue
Haftalık Ant Dergisi	1969	6	128	regular issue
Haftalık Ant Dergisi	1969	6	129	regular issue
Haftalık Ant Dergisi	1967	3	13	regular issue
Haftalık Ant Dergisi	1969	6	130	regular issue
Haftalık Ant Dergisi	1969	7	131	regular issue
Haftalık Ant Dergisi	1969	7	132	regular issue
Haftalık Ant Dergisi	1969	7	133	regular issue
Haftalık Ant Dergisi	1969	7	134	regular issue
Haftalık Ant Dergisi	1969	7	135	regular issue
Haftalık Ant Dergisi	1969	8	136	regular issue
Haftalık Ant Dergisi	1969	8	137	regular issue
Haftalık Ant Dergisi	1969	8	138	regular issue
Haftalık Ant Dergisi	1969	8	139	regular issue
Haftalık Ant Dergisi	1967	4	14	regular issue
Haftalık Ant Dergisi	1969	9	140	regular issue
Haftalık Ant Dergisi	1969	9	141	regular issue
Haftalık Ant Dergisi	1969	9	142	regular issue
Haftalık Ant Dergisi	1969	9	143	regular issue
Haftalık Ant Dergisi	1969	9	144	regular issue
Haftalık Ant Dergisi	1969	10	145	regular issue
Haftalık Ant Dergisi	1969	10	146	regular issue
Haftalık Ant Dergisi	1969	10	147	regular issue
Haftalık Ant Dergisi	1969	10	148	regular issue
Haftalık Ant Dergisi	1969	11	149	regular issue
Haftalık Ant Dergisi	1967	4	15	regular issue
Haftalık Ant Dergisi	1969	11	150	regular issue
Haftalık Ant Dergisi	1969	11	151	regular issue
Haftalık Ant Dergisi	1969	11	152	regular issue
Haftalık Ant Dergisi	1969	12	153	regular issue
Haftalık Ant Dergisi	1969	12	154	regular issue
Haftalık Ant Dergisi	1969	12	155	regular issue
Haftalık Ant Dergisi	1969	12	156	regular issue
Haftalık Ant Dergisi	1969	12	157	regular issue
Haftalık Ant Dergisi	1970	1	158	regular issue
Haftalık Ant Dergisi	1970	1	159	regular issue
Haftalık Ant Dergisi	1967	4	16	regular issue
Haftalık Ant Dergisi	1970	1	160	regular issue
Haftalık Ant Dergisi	1970	2	161	regular issue
Haftalık Ant Dergisi	1970	2	162	regular issue
Haftalık Ant Dergisi	1970	2	163	regular issue
Haftalık Ant Dergisi	1970	2	164	regular issue
Haftalık Ant Dergisi	1970	2	165	regular issue
Haftalık Ant Dergisi	1970	3	166	regular issue
Haftalık Ant Dergisi	1970	3	167	regular issue
Haftalık Ant Dergisi	1970	3	168	regular issue
Haftalık Ant Dergisi	1970	3	169	regular issue
Haftalık Ant Dergisi	1967	4	17	regular issue
Haftalık Ant Dergisi	1970	3	170	regular issue
Haftalık Ant Dergisi	1970	4	171	regular issue
Haftalık Ant Dergisi	1970	4	172	regular issue
Haftalık Ant Dergisi	1970	4	173	regular issue
Haftalık Ant Dergisi	1967	5	18	regular issue
Haftalık Ant Dergisi	1967	5	19	regular issue
Haftalık Ant Dergisi	1967	1	2	regular issue
Haftalık Ant Dergisi	1967	5	20	regular issue
Haftalık Ant Dergisi	1967	5	21	regular issue
Haftalık Ant Dergisi	1967	5	22	regular issue
Haftalık Ant Dergisi	1967	6	23	regular issue
Haftalık Ant Dergisi	1967	6	24	regular issue
Haftalık Ant Dergisi	1967	6	25	regular issue
Haftalık Ant Dergisi	1967	6	26	regular issue
Haftalık Ant Dergisi	1967	7	27	regular issue
Haftalık Ant Dergisi	1967	7	28	regular issue
Haftalık Ant Dergisi	1967	7	29	regular issue
Haftalık Ant Dergisi	1967	1	3	regular issue
Haftalık Ant Dergisi	1967	7	30	regular issue
Haftalık Ant Dergisi	1967	8	31	regular issue
Haftalık Ant Dergisi	1967	8	32	regular issue
Haftalık Ant Dergisi	1967	8	33	regular issue
Haftalık Ant Dergisi	1967	8	34	regular issue
Haftalık Ant Dergisi	1967	8	35	regular issue
Haftalık Ant Dergisi	1967	9	36	regular issue
Haftalık Ant Dergisi	1967	9	37	regular issue
Haftalık Ant Dergisi	1967	9	38	regular issue
Haftalık Ant Dergisi	1967	9	39	regular issue
Haftalık Ant Dergisi	1967	1	4	regular issue
Haftalık Ant Dergisi	1967	10	40	regular issue
Haftalık Ant Dergisi	1967	10	41	regular issue
Haftalık Ant Dergisi	1967	10	42	regular issue
Haftalık Ant Dergisi	1967	10	43	regular issue
Haftalık Ant Dergisi	1967	10	44	regular issue
Haftalık Ant Dergisi	1967	11	45	regular issue
Haftalık Ant Dergisi	1967	11	46	regular issue
Haftalık Ant Dergisi	1967	11	47	regular issue
Haftalık Ant Dergisi	1967	11	48	regular issue
Haftalık Ant Dergisi	1967	12	49	regular issue
Haftalık Ant Dergisi	1967	1	5	regular issue
Haftalık Ant Dergisi	1967	12	50	regular issue
Haftalık Ant Dergisi	1967	12	51	regular issue
Haftalık Ant Dergisi	1967	12	52	regular issue
Haftalık Ant Dergisi	1968	1	53	regular issue
Haftalık Ant Dergisi	1968	1	54	regular issue
Haftalık Ant Dergisi	1968	1	55	regular issue
Haftalık Ant Dergisi	1968	1	56	regular issue
Haftalık Ant Dergisi	1968	1	57	regular issue
Haftalık Ant Dergisi	1968	2	58	regular issue
Haftalık Ant Dergisi	1968	2	59	regular issue
Haftalık Ant Dergisi	1967	2	6	regular issue
Haftalık Ant Dergisi	1968	2	60	regular issue
Haftalık Ant Dergisi	1968	2	61	regular issue
Haftalık Ant Dergisi	1968	3	62	regular issue
Haftalık Ant Dergisi	1968	3	63	regular issue
Haftalık Ant Dergisi	1968	3	64	regular issue
Haftalık Ant Dergisi	1968	3	65	regular issue
Haftalık Ant Dergisi	1968	4	66	regular issue
Haftalık Ant Dergisi	1968	4	67	regular issue
Haftalık Ant Dergisi	1968	4	68	regular issue
Haftalık Ant Dergisi	1968	4	69	regular issue
Haftalık Ant Dergisi	1967	2	7	regular issue
Haftalık Ant Dergisi	1968	4	70	regular issue
Haftalık Ant Dergisi	1968	5	71	regular issue
Haftalık Ant Dergisi	1968	5	72	regular issue
Haftalık Ant Dergisi	1968	5	73	regular issue
Haftalık Ant Dergisi	1968	5	74	regular issue
Haftalık Ant Dergisi	1968	6	75	regular issue
Haftalık Ant Dergisi	1968	6	76	regular issue
Haftalık Ant Dergisi	1968	6	77	regular issue
Haftalık Ant Dergisi	1968	6	78	regular issue
Haftalık Ant Dergisi	1968	7	79	regular issue
Haftalık Ant Dergisi	1967	2	8	regular issue
Haftalık Ant Dergisi	1968	7	80	regular issue
Haftalık Ant Dergisi	1968	7	81	regular issue
Haftalık Ant Dergisi	1968	7	82	regular issue
Haftalık Ant Dergisi	1968	7	83	regular issue
Haftalık Ant Dergisi	1968	8	84	regular issue
Haftalık Ant Dergisi	1968	8	85	regular issue
Haftalık Ant Dergisi	1968	8	86	regular issue
Haftalık Ant Dergisi	1968	8	87	regular issue
Haftalık Ant Dergisi	1968	9	88	regular issue
Haftalık Ant Dergisi	1968	9	89	regular issue
Haftalık Ant Dergisi	1967	2	9	regular issue
Haftalık Ant Dergisi	1968	9	90	regular issue
Haftalık Ant Dergisi	1968	9	91	regular issue
Haftalık Ant Dergisi	1968	10	92	regular issue
Haftalık Ant Dergisi	1968	10	93	regular issue
Haftalık Ant Dergisi	1968	10	94	regular issue
Haftalık Ant Dergisi	1968	10	95	regular issue
Haftalık Ant Dergisi	1968	10	96	regular issue
Haftalık Ant Dergisi	1968	11	97	regular issue
Haftalık Ant Dergisi	1968	11	98	regular issue
Haftalık Ant Dergisi	1968	11	99	regular issue
Proleter Devrimci Aydınlık	1970	1	1-15	regular issue
Proleter Devrimci Aydınlık	1970	10	10-24	regular issue
Proleter Devrimci Aydınlık	1970	11	11-25	regular issue
Proleter Devrimci Aydınlık	1970	12	12-26	regular issue
Proleter Devrimci Aydınlık	1971	1	13-27	regular issue
Proleter Devrimci Aydınlık	1971	2	14-28	regular issue
Proleter Devrimci Aydınlık	1971	2	15-29	regular issue
Proleter Devrimci Aydınlık	1971	2	16-30	regular issue
Proleter Devrimci Aydınlık	1971	2	17-31	regular issue
Proleter Devrimci Aydınlık	1971	3	18-32	regular issue
Proleter Devrimci Aydınlık	1971	3	19-33	regular issue
Proleter Devrimci Aydınlık	1970	2	2-16	regular issue
Proleter Devrimci Aydınlık	1971	3	20-34	regular issue
Proleter Devrimci Aydınlık	1971	3	21-35	regular issue
Proleter Devrimci Aydınlık	1971	3	22-36	regular issue
Proleter Devrimci Aydınlık	1971	4	23-37	regular issue
Proleter Devrimci Aydınlık	1971	4	24-38	regular issue
Proleter Devrimci Aydınlık	1971	4	25-39	regular issue
Proleter Devrimci Aydınlık	1971	4	26-40	regular issue
Proleter Devrimci Aydınlık	1970	3	3-17	regular issue
Proleter Devrimci Aydınlık	1970	4	4-18	regular issue
Proleter Devrimci Aydınlık	1970	5	5-19	regular issue
Proleter Devrimci Aydınlık	1970	6	6-20	regular issue
Proleter Devrimci Aydınlık	1970	7	7-21	regular issue
Proleter Devrimci Aydınlık	1970	8	8-22	regular issue
Proleter Devrimci Aydınlık	1970	9	9-23	regular issue
Türk Solu	1967	11	1	regular issue
Türk Solu	1968	1	10	regular issue
Türk Solu	1969	10	100	regular issue
Türk Solu	1969	10	101	regular issue
Türk Solu	1969	10	102	regular issue
Türk Solu	1969	11	103	regular issue
Türk Solu	1969	11	104	regular issue
Türk Solu	1969	11	105	regular issue
Türk Solu	1969	11	106	regular issue
Türk Solu	1969	12	107	regular issue
Türk Solu	1969	12	108	regular issue
Türk Solu	1969	12	109	regular issue
Türk Solu	1968	1	11	regular issue
Türk Solu	1969	12	110	regular issue
Türk Solu	1969	12	111	regular issue
Türk Solu	1970	1	112	regular issue
Türk Solu	1970	1	113	regular issue
Türk Solu	1970	1	114	regular issue
Türk Solu	1970	1	115	regular issue
Türk Solu	1970	2	116	regular issue
Türk Solu	1970	2	117	regular issue
Türk Solu	1970	2	118	regular issue
Türk Solu	1970	2	119	regular issue
Türk Solu	1968	2	12	regular issue
Türk Solu	1970	3	120	regular issue
Türk Solu	1970	3	121	regular issue
Türk Solu	1970	3	122	regular issue
Türk Solu	1970	3	123	regular issue
Türk Solu	1970	3	124	regular issue
Türk Solu	1970	4	125	regular issue
Türk Solu	1970	4	126	regular issue
Türk Solu	1968	2	13	regular issue
Türk Solu	1968	2	14	regular issue
Türk Solu	1968	2	15	regular issue
Türk Solu	1968	3	16	regular issue
Türk Solu	1968	3	17	regular issue
Türk Solu	1968	3	18	regular issue
Türk Solu	1968	3	19	regular issue
Türk Solu	1967	11	2	regular issue
Türk Solu	1968	4	20	regular issue
Türk Solu	1968	4	21	regular issue
Türk Solu	1968	4	22	regular issue
Türk Solu	1968	4	23	regular issue
Türk Solu	1968	4	24	regular issue
Türk Solu	1968	5	25	regular issue
Türk Solu	1968	5	26	regular issue
Türk Solu	1968	5	27	regular issue
Türk Solu	1968	5	28	regular issue
Türk Solu	1968	6	29	regular issue
Türk Solu	1967	12	3	regular issue
Türk Solu	1968	6	30	regular issue
Türk Solu	1968	6	31	regular issue
Türk Solu	1968	6	32	regular issue
Türk Solu	1968	7	33	regular issue
Türk Solu	1968	7	34	regular issue
Türk Solu	1968	7	35	regular issue
Türk Solu	1968	7	36	regular issue
Türk Solu	1968	7	37	regular issue
Türk Solu	1968	8	38	regular issue
Türk Solu	1968	8	39	regular issue
Türk Solu	1967	12	4	regular issue
Türk Solu	1968	8	40	regular issue
Türk Solu	1968	8	41	regular issue
Türk Solu	1968	9	42	regular issue
Türk Solu	1968	9	43	regular issue
Türk Solu	1968	9	44	regular issue
Türk Solu	1968	9	45	regular issue
Türk Solu	1968	10	46	regular issue
Türk Solu	1968	10	47	regular issue
Türk Solu	1968	10	48	regular issue
Türk Solu	1968	10	49	regular issue
Türk Solu	1967	12	5	regular issue
Türk Solu	1968	10	50	regular issue
Türk Solu	1968	11	51	regular issue
Türk Solu	1968	11	52	regular issue
Türk Solu	1968	11	53	regular issue
Türk Solu	1968	11	54	regular issue
Türk Solu	1968	12	55	regular issue
Türk Solu	1968	12	56	regular issue
Türk Solu	1968	12	57	regular issue
Türk Solu	1968	12	58	regular issue
Türk Solu	1968	12	59	regular issue
Türk Solu	1967	12	6	regular issue
Türk Solu	1969	1	60	regular issue
Türk Solu	1969	1	61	regular issue
Türk Solu	1969	1	62	regular issue
Türk Solu	1969	1	63	regular issue
Türk Solu	1969	2	64	regular issue
Türk Solu	1969	2	65	regular issue
Türk Solu	1969	2	66	regular issue
Türk Solu	1969	2	67	regular issue
Türk Solu	1969	3	68	regular issue
Türk Solu	1969	3	69	regular issue
Türk Solu	1967	12	7	regular issue
Türk Solu	1969	3	70	regular issue
Türk Solu	1969	3	71	regular issue
Türk Solu	1969	4	72	regular issue
Türk Solu	1969	4	73	regular issue
Türk Solu	1969	4	74	regular issue
Türk Solu	1969	4	75	regular issue
Türk Solu	1969	4	76	regular issue
Türk Solu	1969	5	77	regular issue
Türk Solu	1969	5	78	regular issue
Türk Solu	1969	5	79	regular issue
Türk Solu	1968	1	8	regular issue
Türk Solu	1969	5	80	regular issue
Türk Solu	1969	6	81	regular issue
Türk Solu	1969	6	82	regular issue
Türk Solu	1969	6	83	regular issue
Türk Solu	1969	6	84	regular issue
Türk Solu	1969	7	85	regular issue
Türk Solu	1969	7	86	regular issue
Türk Solu	1969	7	87	regular issue
Türk Solu	1969	7	88	regular issue
Türk Solu	1969	7	89	regular issue
Türk Solu	1968	1	9	regular issue
Türk Solu	1969	8	90	regular issue
Türk Solu	1969	8	91	regular issue
Türk Solu	1969	8	92	regular issue
Türk Solu	1969	8	93	regular issue
Türk Solu	1969	9	94	regular issue
Türk Solu	1969	9	95	regular issue
Türk Solu	1969	9	96	regular issue
Türk Solu	1969	9	97	regular issue
Türk Solu	1969	9	98	regular issue
Türk Solu	1969	10	99	regular issue
